state,attributes.Price Range,business_id,full_address,categories,checkin_count,lat,long
NC,2,xkrhaKM1YtiLEcorBI5zcQ,28012,AllTypes,5,35.2489525,-81.0224918
NC,1,EZrCQtZxiEo1kkAYt2EQqw,28012,FastFood,15,35.253329,-81.027326
NC,2,HPcrrz8uipPQyK-5zd6w9Q,28012,Italian,10,35.2546334,-81.0277219
NC,1,cbLaFQJOfzDy_TxMkPee9Q,28012,AllTypes,6,35.24299,-81.028058
NC,2,W-2Tuk4uWYm5BsdlWju8wg,28012,AllTypes,26,35.25355,-81.026391
NC,1,Gz2bNUss7Y_dyy_lRtVGEw,28012,American,4,35.243155,-81.028482
NC,1,c-Pa13Lq1eB0VwLVoyJ7lg,28012,FastFood,12,35.251298,-81.025964
NC,1,vtJAnB4gBgTJKv3mOnOF_w,28012,FastFood,10,35.252694,-81.041502
NC,1,qJTHaHFKQIKXKX3I17Nw9w,28012,FastFood,21,35.251806,-81.0433539
NC,1,JkF2CPy63ivoK1FUqprQ7w,28012,Asian,12,35.2527471,-81.0422163
NC,2,OkV0BMQxRRYJ5t5sbeU93A,28012,American,73,35.244676,-81.037397
NC,2,qYuSoVBS_1i_btLzFefDeg,28104,Italian,17,35.084143,-80.697074
NC,1,5vLVIomtminS_q8itJquEQ,28104,FastFood,14,35.085443,-80.696968
NC,1,HlvPa_iypwt5RwUHl-Dz3g,28104,Asian,3,35.026377,-80.7630454
NC,1,2VuPoaFPktvtAqTX_Fzc-A,28120,Mexican,28,35.3035634,-81.0272196
NC,1,jyF0rwmQEIdDWVtP5vlf3w,28120,American,61,35.2912146,-81.0241586
NC,1,7F9e41xxk8Ipjmoou8C20A,28120,Asian,10,35.2991682,-81.0208401
NC,1,Z2ks3quiwbkMDY1sVDW9OQ,28120,FastFood,3,35.2889229,-81.020392
NC,1,lX3XYcMWoRlHjrmkoGNefQ,28134,AllTypes,24,35.086948,-80.871878
NC,1,ji0VxQpFQvzzYMy9fY5fvw,28134,AllTypes,14,35.0821998,-80.8772249
NC,1,friprEn-aT_WmhmIF3pGmg,28134,FastFood,58,35.0869866,-80.8717654
NC,2,2_0P2AmSSFtPgddio0MgYA,28134,AllTypes,372,35.076521,-80.882357
NC,2,BO0zz8gort7o-6KuecIv3Q,28134,American,101,35.0866339,-80.87693
NC,1,_Bz6YWNI5bi0gqQI4GLvqQ,28134,American,178,35.088417,-80.878913
NC,1,DLvH3Ck9R8fO_I89maDNIA,28134,AllTypes,5,35.089113,-80.876906
NC,2,SVKC_-gIQFkHElZ6bFsE6g,28134,Italian,146,35.0852900556099,-80.8798456192017
NC,1,l2ynPEBj9S_yN9gjg32tBA,28134,FastFood,28,35.084106,-80.878954
NC,2,AUDuCSWYzzRP3H2w7TxtuQ,28134,American,137,35.088633,-80.8770119
NC,2,Gw5POFxBRoJxN_ZYhk6lgQ,28226,FastFood,39,35.089035,-80.8670549
NC,2,DE_11y6_vCmPBlbeYskh-Q,28134,American,45,35.0857058,-80.8789517
NC,2,4WsTFTH8GgnyFHwrH9nHzA,28134,Italian,148,35.086418,-80.877383
NC,2,QMZe84KFyZy0IlCBb1v91A,28134,American,26,35.0862316,-80.8811638
NC,1,PVooCeYIrp9E2rtrL4R98g,28134,American,24,35.114191,-80.912923
NC,1,WqPjIMFcT9RTMUumaCvGsw,28134,AllTypes,16,35.1118189,-80.915583
NC,1,D6sriF-ak-e5D_MTsPc3wg,28134,FastFood,9,35.0912719,-80.8857699
NC,2,5p3Tqyp19UowO0-dAFvxMw,28134,Asian,34,35.08442,-80.884608
NC,1,T1jYZFB_7cqdhuvzpxfFWQ,28134,AllTypes,81,35.085568,-80.884822
NC,1,LT0AgHTpDifuHSXgyLmJwg,28202,FastFood,59,35.228193,-80.846592
NC,4,USdRzNk14UdjZWFgBJb0wA,28202,American,14,35.231684,-80.8396379
